"","party","fullname","count","score","score2","error","error2"
"852","fdp","Michael Georg_Link",7380,0.0163677112318293,0.493375792976443,0.0257655806523166,0.0305099778659952
"853","spd","Michael_Harjes",66,-0.427218425778089,-0.0654241421051255,0.130098131053824,0.320519453932815
"854","spd","Michael Eckardt_Thews",26052,-0.390663958773193,0.363646147939774,0.011675378342489,0.0159989185007393
"855","spd","Michaela_Engelmeier",38138,-0.151866510868657,0.2054247217695,0.0136026308869481,0.0134126539255742
"856","cdu","Michael_Aufenanger",2788,-0.0884729492141199,1.2782660590801,0.0304160416921803,0.0883869084268462
"857","die linke","Michael_Efler",31834,-0.387776553752697,-0.615012761015856,0.0145327139469334,0.0208623456774401
"858","die linke","Michael_Efler",33506,-0.336600122883111,-0.564663933867269,0.0150274587965071,0.0202181141073448
"859","csu","Michael_Frieser",467,0.307774094726004,0.448310923340911,0.146878556911048,0.121123091938513
"860","cdu","Michael_Hennrich",399,0.211344550206269,0.211304318475281,0.144902266943605,0.139564058086696
"861","afd","Michael Andreas_Hug",418,0.664014813940159,-0.129145051897428,0.168544049592403,0.122704432764392
"862","csu","Michael Thomas_Kuffer",455,0.306377767485393,0.518420209777663,0.152240283597869,0.126137580689038
"863","afd","Michael_Winterich",106,0.577339763631075,0.140655961370169,0.32098611916647,0.245843619923971
"864","csu","Michelle_Fall",6103,0.0321925356557016,0.480409625096828,0.0318938871999325,0.040929662550947
"865","fdp","Michael_Limmer",913,0.321882962003972,0.327888916920395,0.0957044193649906,0.10035631915722
"866","grüne","Mika-Sören_Erdmann",1319,-0.393960099653793,-0.346232853127969,0.0730016248102613,0.104536488201925
"867","grüne","Mika-Sören_Erdmann",1405,-0.23270381660704,-0.233526060170687,0.071352619447127,0.0931766709917612
"868","afd","Mike_Moncsek",72,1.08813522946214,-0.0409530359753671,0.395867504135904,0.267230812981959
"869","grüne","Michael_Kellner",27456,-0.355120109072532,0.00990613277104122,0.0164795230182535,0.0192309864037357
"870","cdu","Mike_Mohring",18621,0.0713104445809859,0.818146890571254,0.0192455845169473,0.0290938157528187
